"Scientific Name","Common Name","Plant URL","Other Common Names","Other Scientific Names","Growth Form","Ecoregion III","Ecoregion IV","Min Height","Max Height","Min Spread","Max Spread","Leaf Retention","Lifespan","Soil","Light","Water","Native Habitat","Bloom Season","Bloom Color","Seasonal Interest","Wildlife Benefit","Maintenence","Comments","References"
"Oenothera hartwegii","Western Primrose","https://www.npsot.org/posts/native-plant/oenothera-hartwegii-ssp-hartwegii/","Hartweg's Sundrops","Calylophus hartwegii","Herbaceous","Central Great Plains, Chihuahuan Deserts, Cross Timbers, Edwards Plateau, High Plains, Southern Texas Plains, Southwestern Tablelands","Broken Red Plains, Limestone Plains, Red Prairie, Chihuahuan Basins and Playas, Chihuahuan Desert Grasslands, Chihuahuan Montane Woodlands, Low Mountains and Bajadas, Stockton Plateau, Limestone Cut Plain, Edwards Plateau Woodland, Llano Uplift, Semiarid Edwards Plateau, Arid Llano Estacado, Canadian/Cimarron High Plains, Llano Estacado, Rolling Sand Plains, Shinnery Sands, Rio Grande Floodplain and Terraces, Semiarid Edwards Bajada, Texas-Tamaulipan Thornscrub, Canadian/Cimarron Breaks, Caprock Canyons Badlands Breaks, Flat Tablelands and Valleys, Semiarid Canadian Breaks","0.25","0.5","2","3","Deciduous","Perennial","Caliche, Clay, Dry, Limestone, Loam, Sand","Part Shade","Low","Grassland","Spring, Summer, Fall","Yellow","Flowers, Nectar, Pollen, Seeds","Bees, Birds, Butterflies, Moths","Prefers fast draining soil and loves reflected heat making it an excellent choice for a rock garden or rocky slope. Deadheading and giving it some summer water will prolong the flowers or let it go to seed for wildlife. Can form colonies up to several feet wide. Cut back to 6-8"" in the autumn to reshape. ","Blooms March-November. A bushy plant with slightly hairy stems and narrow lance-shaped to oblong leaves. The bright yellow flowers consist of 4 wavy petals forming a tube at the base. Flowers open in the evening and close the next afternoon. The fruit is a capsule. Sphinx Moths especially like the pollen. Native habitat: prairie, meadows, pastures.
","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=28435&locationType=County&mapType=Normal. 3) https://www.wildflower.org/plants/result.php?id_plant=CAHA14.  4) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=836093#null., 5) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Oenothera+hartwegii+var.+hartwegii&formsubmit=Search+Terms., 6) https://www.americansouthwest.net/plants/wildflowers/oenothera-hartwegii.html., 7) https://apps.cals.arizona.edu/arboretum/taxon.aspx?id=1133"
"Oenothera jamesii","Trumpet Evening Primrose","https://www.npsot.org/posts/native-plant/oenothera-jamesii/","Trumpet Evening-primrose, River Primrose","","Herbaceous","Edwards Plateau, High Plains, Southwestern Tablelands, Texas Blackland Prairies","Balcones Canyonlands, Canadian/Cimarron High Plains, Canadian/Cimarron Breaks, Flat Tablelands and Valleys, Floodplains and Low Terraces, Northern Blackland Prairie, Southern Blackland Prairie","4","6","2","3","Deciduous","Biennial","Loam, Moist, Rich, Sand, Well Drained","Sun","Medium, High","Disturbed Areas, Riparian, Wetland","Summer, Fall","Yellow","Fruit, Nectar, Pollen","Bees, Birds, Butterflies, Moths, Nectar Insects","Requires consistently moist soil; do not let dry out between waterings. But roots can also rot with too much water. As a pioneer species, it often grows in disturbed soils, contributing to soil stabilization. Flowers open late afternoon or early evening, making it a great addition to a night-time pollinator garden. This is a relatively tall plant, so a location in the back of a bed is appropriate. Aphids and spider mites are the most common pests that can affect the plant. Additionally, certain fungal diseases can pose a threat, particularly in overly moist conditions. Native habitat: stream banks, wet places.","Blooms July-October. Features branching stems with linear to lanceolate leaves that grow up to 4 inches long. The leaves have a soft texture, with fine hairs. Large trumpet shape flowers have petals that can grow as wide as 4 inches. The fruit is a capsule.","1) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=27424#null, 2) https://www.wildflower.org/plants/result.php?id_plant=OEJA, 3) https://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=15756&locationType=County&mapType=Normal, 4) https://davesgarden.com/guides/pf/go/138566, 5) https://greg.app/plant-care/oenothera-jamesii-james-evening-primrose, 6) https://www.botanicalrealm.com/plant-identification/trumpet-evening-primrose-oenothera-jamesii/"
"Oenothera laciniata","Cutleaf Evening Primrose","https://www.npsot.org/posts/native-plant/oenothera-laciniata/","Cutleaf Evening-primrose, Cut-leaved Evening Primrose","Raimannia laciniata","Herbaceous","Central Great Plains, Chihuahuan Deserts, Cross Timbers, East Central Texas Plains, Edwards Plateau, Gulf Coast Prairies and Marshes, High Plains, Southern Texas Plains, Southwestern Tablelands, Texas Blackland Prairies, Western Gulf Coastal Plain","Broken Red Plains, Limestone Plains, Red Prairie, Low Mountains and Bajadas, Carbonate Cross Timbers, Eastern Cross Timbers, Grand Prairie, Limestone Cut Plain, Western Cross Timbers, Bastrop Lost Pines, Floodplains and Low Terraces, Northern Post Oak Savanna, Northern Prairie Outliers, San Antonio Prairie, Southern Post Oak Savanna, Balcones Canyonlands, Coastal Sand Plain, Laguna Madre Barrier Island and Coastal Marshes, Lower Rio Grande Alluvial Floodplain, Lower Rio Grande Valley, Mid-Coast Barrier Islands and Coastal Marshes, Northern Humid Gulf Coastal Prairies, Southern Subhumid Gulf Coastal Prairies, Texas-Louisiana Coastal Marshes, Rolling Sand Plains, Northern Nueces Alluvial Plains, Rio Grande Floodplain and Terraces, Semiarid Edwards Bajada, Texas-Tamaulipan Thornscrub, Canadian/Cimarron Breaks, Northern Blackland Prairie, Southern Blackland Prairie, Flatwoods, Pleistocene Fluvial Terraces, Red River Bottomlands, Southern Tertiary Uplands, Tertiary Uplands","0.5","2","1","2","Deciduous","Annual","Dry, Limestone, Loam, Sand, Well Drained","Part Shade","Low","Disturbed Areas, Grassland","Spring, Summer, Fall","Pink, White, Yellow","Forage, Larval Host, Pollen, Seeds","Bees, Birds, Browsers, Deer, Small Mammals","Good for wildlife gardens. Spreads easily, so give lots of room to grow or thin as needed for your garden space. Not common in plant nurseries but seeds are available commercially. Native habitat: fields, roadsides, and waste areas.","Blooms March-October. A reclining to upright plant with a single or branched stem arising from the base. The foliage is somewhat hairy. Leaves are oblong to lance-shaped. with toothed to deeply lobed margins. Solitary inflorescence arise from the upper leaf axils. Flowers have 4 heart-shaped yellow petals, maturing pink or red and opening in the evening. The fruit is a capsule. Larval host: wasps, aphids, and ladybugs.","1) https://seedsource.com/cutleaf-evening-primrose/, 2) https://itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=27371#null, 3) https://www.wildflower.org/plants/result.php?id_plant=OELA, 4) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Oenothera+laciniata&formsubmit=Search+Terms, 5) https://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=15758&locationType=County&mapType=Normal, 6)http://www.texaswildbuds.com/oenothera-laciniata.html#:~:text=Habitat%3A%20Dry%2C%20usually%20sandy%20soils,inches%20long%3B%20somewhat%20hairy%20foliage, 7) https://www.foragingtexas.com/2011/12/cutleaf-evening-primrose.html. 8) http://coastalplainplants.org/wiki/index.php/Oenothera_laciniata#:~:text=Oenothera%20laciniata%20has%20been%20observed,deer%20browse%20on%20the%20foliage."
"Oenothera lindheimeri","Butterfly Gaura","https://www.npsot.org/posts/native-plant/oenothera-lindheimeri/","Lindheimer's Beeblossom, White gaura, Clockweed","Gaura lindheimeri","Herbaceous","Gulf Coast Prairies and Marshes, Western Gulf Coastal Plain","Floodplains and Low Terraces, Mid-Coast Barrier Islands and Coastal Marshes, Northern Humid Gulf Coastal Prairies, Texas-Louisiana Coastal Marshes, Flatwoods, Southern Tertiary Uplands","2","5","1","1","Deciduous","Perennial","Calcareous, Clay, Loam, Moist, Sand","Sun","Medium","Grassland, Riparian, Woodland","Spring, Summer, Fall","Pink, White","Nectar, Pollen","Bees, Butterflies, Hummingbirds, Moths","A large, showy Gaura species often forming extensive colonies. Flowers open in the morning. The ""fragrance"" has been compared to cat urine. Cut to 1/2 in July for thicker, more compact foliage. Looks good in the back of a perennial border or bed. Native habitat: prairies, pinelands, and pond edges.","Blooms April-October. Upright to widely spreading form, with branches arching in many directions. Leaf color is dark green in summer, and red, gold or purple in the fall. The flowers are four-petaled, in one row on the upward side, arranged in spikes, with long stamens hanging down. The fruit is a capsule.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) https://www.wildflower.org/plants/result.php?id_plant=OELI2. 3) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=15760&locationType=County&mapType=Normal. 4) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=835999#null, 5) Native and Adapted Landscape Plants, City of Austin and Texas A&M, 2014. 6) https://plants.ces.ncsu.edu/plants/oenothera-lindheimeri-belleza/#:~:text=The%20flowers%20will%20attract%20bees,More%20information%20on%20Oenothera%20lindheimeri.&text=Wildlife%20Value%3A,Flowers%20attract%20bees%20and%20butterflies., 7) https://landscape-water-conservation.extension.org/plants-for-water-wise-pollinator-gardens-gaura-gaura-lindheimeri-also-oenothera-lindheimeri/"
"Oenothera macrocarpa","Missouri Primrose","https://www.npsot.org/posts/native-plant/oenothera-macrocarpa/","Bigfruit Evening-primrose, Missouri Evening-primrose, Fluttermill, Big-fruit Evening-primrose, Bigfruit Evening Primrose","","Herbaceous","Central Great Plains, Cross Timbers, Edwards Plateau, High Plains, Southwestern Tablelands, Texas Blackland Prairies","Limestone Plains, Carbonate Cross Timbers, Eastern Cross Timbers, Grand Prairie, Limestone Cut Plain, Balcones Canyonlands, Canadian/Cimarron High Plains, Llano Estacado, Canadian/Cimarron Breaks, Semiarid Canadian Breaks, Northern Blackland Prairie","0.5","1","1","1.5","Deciduous","Perennial","Calcareous, Dry, Gravelly, Loam, Rocky, Sand","Sun, Part Shade","Low","Grassland","Spring, Summer","Yellow","Nectar, Pollen","Bees, Hummingbirds, Moths","A handsome plant with a low mounding habit. May go dormant in hot dry summers. A good addition to rock gardens. Prevent complete soil dryness. Can be grown in container gardens. Native habitat: limestone glades and bluffs, roadsides; rocky prairies and hillsides","Blooms April-August. Growth form can be upright or trailing. The foliage is narrow, thick and gray-green. Showy, large, yellow, four-petaled flowers open in the evening, closing the next day. The fruit is a capsule. This species is pollinated primarily by hawk moths. ","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) https://www.wildflower.org/plants/result.php?id_plant=OEMA. 3) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Oenothera+macrocarpa&formsubmit=Search+Terms. 4) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=15762&locationType=County&mapType=Normal. 5) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=504004#null, 6) Native and Adapted Landscape Plants, City of Austin and Texas A&M, 2014, 7) https://seedsource.com/missouri-primrose/"
"Oenothera rhombipetala","Diamond Petal Primrose","https://www.npsot.org/posts/native-plant/oenothera-rhombipetala/","Fourpoint Evening-primrose, Four-point Evening Primrose, Greater Four-point Evening-primrose","Oenothera heterophylla var. rhombipetala, Raimannia rhombipetala","Herbaceous","Central Great Plains, Chihuahuan Deserts, Cross Timbers, High Plains, Southwestern Tablelands, Western Gulf Coastal Plain","Broken Red Plains, Limestone Plains, Red Prairie, Chihuahuan Desert Grasslands, Carbonate Cross Timbers, Eastern Cross Timbers, Grand Prairie, Limestone Cut Plain, Western Cross Timbers, Shinnery Sands, Canadian/Cimarron Breaks, Caprock Canyons Badlands Breaks, Flat Tablelands and Valleys, Tertiary Uplands","3","5","2","3","Semi Evergreen","Biennial","Dry, Loam, Sand","Sun, Part Shade","Low","Grassland, Woodland Edge","Summer, Fall","Yellow","Nectar, Pollen","Bees, Hummingbirds, Moths","For the home landscape, it's best to in a newly prepared area rather than well-established sites, as it doesn't do well with a lot of competition. Despite its preference for dry sites, this plant will continue to bloom through the summer if given supplemental water. Trim if it gets leggy. Not common in plant nurseries but seeds are available commercially. Native habitat: prairies meadows, pastures, woodland edges,","Blooms May-September. Grows in a mounding to spreading form. As a biennial this plant will produce a rosette of leaves the first year and a taller plant with flowers the second year. Small, narrow leaves grow the length of long, stout stems. The loose flowering spike is composed of yellow, 2-3 in. flowers, each with four wide petals which taper to a blunt point. The flowers open in the evening and wither the following morning. The fruit is a capsule. The dusk and night flying bee Lasioglossum texanum collects pollen only from the four-point evening-primrose. A night-blooming plant that is a food source for nocturnal pollinators such as Hawk Moths, Hummingbird Moths, and Clearwing Moths, as well as Ruby-Throated Hummingbirds on overcast days.","1) https://seedsource.com/diamond-petal-primrose/, 2) https://itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=565330#null, 3) https://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=15777&locationType=County&mapType=Normal, 4) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Oenothera+rhombipetala&formsubmit=Search+Terms, 5) https://www.wildflower.org/plants/result.php?id_plant=OERH, 6) https://en.wikipedia.org/wiki/Oenothera_rhombipetala, 7) https://www.prairiemoon.com/oenothera-rhombipetala-sand-evening-primrose"
"Oenothera serrulata","Yellow Evening Primrose","https://www.npsot.org/posts/native-plant/oenothera-serrulata/","Yellow Sundrops, Plains Evening Primrose","Calylophus serrulatus","Herbaceous","Central Great Plains, Chihuahuan Deserts, Cross Timbers, East Central Texas Plains, Edwards Plateau, Gulf Coast Prairies and Marshes, High Plains, Southern Texas Plains, Southwestern Tablelands, Texas Blackland Prairies, Western Gulf Coastal Plain","Broken Red Plains, Red Prairie, Chihuahuan Basins and Playas, Carbonate Cross Timbers, Eastern Cross Timbers, Grand Prairie, Limestone Cut Plain, Western Cross Timbers, Southern Post Oak Savanna, Balcones Canyonlands, Semiarid Edwards Plateau, Coastal Sand Plain, Floodplains and Low Terraces, Laguna Madre Barrier Island and Coastal Marshes, Lower Rio Grande Alluvial Floodplain, Lower Rio Grande Valley, Mid-Coast Barrier Islands and Coastal Marshes, Southern Subhumid Gulf Coastal Prairies, Texas-Louisiana Coastal Marshes, Arid Llano Estacado, Canadian/Cimarron High Plains, Llano Estacado, Rolling Sand Plains, Shinnery Sands, Northern Nueces Alluvial Plains, Canadian/Cimarron Breaks, Caprock Canyons Badlands Breaks, Flat Tablelands and Valleys, Semiarid Canadian Breaks, Northern Blackland Prairie, Flatwoods, Pleistocene Fluvial Terraces, Red River Bottomlands, Southern Tertiary Uplands, Tertiary Uplands","0.75","2","0.5","1.5","Deciduous","Perennial","Sand, Loam, Rocky, Well Drained, Dry","Sun","Low","Grassland","Spring, Summer","Yellow","Seeds, Nectar","Birds, Small Mammals, Hummingbirds","Drought tolerant. This is a taprooted plant that tolerates drought extremely well but can be difficult to transplant once established. Landscape uses include Rock gardens, dry border fronts or prairie areas. Native habitat: dry prairies and rock outcrop.","Blooms April-July. Has a a leafy, bushy form. Narrow leaves crowd the branched stems. Small, yellow, four-petaled flowers are borne from the upper leaf axils. The fruit is a slender, cylindrical capsule with many seeds.","1) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=517736#null  2) https://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=15796&locationType=County&mapType=Normal  3) https://www.wildflower.org/plants/result.php?id_plant=case12  4) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Oenothera+serrulata&formsubmit=Search+Terms  5) https://www.minnesotawildflowers.info/flower/yellow-sundrops  6) https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=370311  7) https://www.fcgov.com/vegetation/?view=807-yellow-sundrops"
"Oenothera spachiana","Spach's Evening Primrose","https://www.npsot.org/posts/native-plant/oenothera-spachiana/","","","Herbaceous","East Central Texas Plains, Gulf Coast Prairies and Marshes, Texas Blackland Prairies, Western Gulf Coastal Plain","Bastrop Lost Pines, Floodplains and Low Terraces, Northern Post Oak Savanna, Northern Prairie Outliers, San Antonio Prairie, Southern Post Oak Savanna, Northern Humid Gulf Coastal Prairies, Northern Blackland Prairie, Southern Blackland Prairie, Flatwoods, Pleistocene Fluvial Terraces, Red River Bottomlands, Southern Tertiary Uplands, Tertiary Uplands","1","1.5","0.5","1","","Annual","Sand, Well Drained","Sun, Part Shade","Low, Medium","Grassland, Woodland","Spring","Yellow","Pollen","Bees","Prefers well-draining soil and requires regular watering, especially during hot and dry periods. However, it is important not to overwater the plant, as this can cause root rot.  It can tolerate some shade, but too much shade can cause the plant to produce fewer flowers. Does not require much pruning. However, deadheading the spent flowers can encourage the plant to produce more blooms. Common pests include spider mites, aphids, and whiteflies. Diseases such as rust and powdery mildew can also affect the plant.  Native habitat: prairies, open woodlands, sandy areas.","Blooms March-May. Grows from from a sparsely branched taproot, usually unbranched or with few ascending branches. The plant has lance-shaped leaves and produces bright yellow flowers that open near sunrise. The fruit is a capsule.","1) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=27414#null  2) https://www.wildflower.org/plants/result.php?id_plant=OESP  3) https://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=15789&locationType=County&mapType=Normal  4) https://plantsnap.com/plant-care/oenothera-spachiana  5) https://floraquest.org/main.php?pg=show-taxon-detail.php&taxonid=7111  6) https://nwwildflowers.com/flora/?t=Oenothera%20spachiana"
"Oenothera speciosa","Pink Evening Primrose","https://www.npsot.org/posts/native-plant/oenothera-speciosa/","Showy Evening Primrose, Mexican Evening Primrose, Showy Primrose, Pink Ladies, Buttercups, Pink Buttercups","Hartmannia speciosa, Oenothera delessertiana, Oenothera speciosa var. childsii","Herbaceous","Central Great Plains, Chihuahuan Deserts, Cross Timbers, East Central Texas Plains, Edwards Plateau, Gulf Coast Prairies and Marshes, Southern Texas Plains, Southwestern Tablelands, Texas Blackland Prairies, Western Gulf Coastal Plain","Limestone Plains, Red Prairie, Chihuahuan Basins and Playas, Chihuahuan Desert Grasslands, Chihuahuan Montane Woodlands, Low Mountains and Bajadas, Grand Prairie, Limestone Cut Plain, Bastrop Lost Pines, Floodplains and Low Terraces, Northern Post Oak Savanna, Northern Prairie Outliers, San Antonio Prairie, Southern Post Oak Savanna, Balcones Canyonlands, Llano Uplift, Semiarid Edwards Plateau, Coastal Sand Plain, Laguna Madre Barrier Island and Coastal Marshes, Lower Rio Grande Alluvial Floodplain, Lower Rio Grande Valley, Mid-Coast Barrier Islands and Coastal Marshes, Northern Humid Gulf Coastal Prairies, Southern Subhumid Gulf Coastal Prairies, Texas-Louisiana Coastal Marshes, Northern Nueces Alluvial Plains, Rio Grande Floodplain and Terraces, Semiarid Edwards Bajada, Texas-Tamaulipan Thornscrub, Caprock Canyons Badlands Breaks, Flat Tablelands and Valleys, Northern Blackland Prairie, Southern Blackland Prairie, Flatwoods, Southern Tertiary Uplands","1","3","1","1.5","Semi Evergreen","Perennial","Caliche, Clay, Dry, Loam, Moist, Sand, Well Drained","Sun","Low, Medium","Grassland, Woodland Edge","Spring, Summer, Fall","Pink","Nectar, Pollen, Seeds","Bees, Birds, Beetles, Small Mammals","Widespread throughout Texas. Give lots of room to spread. Can work as a dense foliage groundcover in shade, but won't bloom without adequate sunlight. Pink Evening Primrose is drought tolerant, although it cannot stand complete soil dryness. It will often go dormant in hot, dry weather and revives during rainy seasons. Can be grown in container gardens and hanging baskets. Native habitat: prairies, meadows, pastures, hillsides, woodland edges.","Blooms February-October. Blooms heaviest in spring. Pink Evening Primrose is an upright to sprawling perennial, which spreads to form extensive colonies. Foliage is usually linear to lance-shaped. The large, four-petaled solitary flowers grow from leaf axils on slender downy stems. Each flower only lasts a day. As the common name implies, most evening primrose species open their flowers in the evening, closing them again early each morning. The fruit is a capsule.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) https://www.wildflower.org/plants/result.php?id_plant=OESP2. 3) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Oenothera+speciosa&formsubmit=Search+Terms. 4) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=15793&locationType=County&mapType=Normal. 5) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=27415#null, 6) https://seedsource.com/pink-evening-primrose/"
"Onosmodium bejariense var. bejariense","False Gromwell","https://www.npsot.org/posts/native-plant/onosmodium-bejariense-var-bejariense/","Soft-hair Marbleseed","Onosmodium molle, Onosmodium molle ssp. bejariense, Onosmodium molle ssp. molle, Onosmodium molle var. bejariense, Lithospermum onosmodium","Herbaceous","Edwards Plateau, Gulf Coast Prairies and Marshes, Texas Blackland Prairies, Western Gulf Coastal Plain","Edwards Plateau Woodland, Northern Humid Gulf Coastal Prairies, Floodplains and Low Terraces, Northern Blackland Prairie, Southern Blackland Prairie, Flatwoods, Pleistocene Fluvial Terraces, Red River Bottomlands, Southern Tertiary Uplands","1","3","0.5","1","Deciduous","Perennial","Dry, Gravelly, Sand, Well Drained","Sun","Low","Grassland, Woodland Edge","Spring","Green, White","Nectar, Pollen","Bees, Butterflies, Nectar Insects","A deep taproot develops on this plant making it extremely drought-resistant and suitable to dry, rocky areas. Colony-forming. Not common in nurseries but may be available at NPSOT plant sales. Native habitat: dry prairies, woodland openings. ","Blooms March-June. Erect, single stem, branch in the upper portion. Leaves are narrow, lance to spatula shaped, hairy, and deeply veined. White, tubular blossoms occur in curved clusters. After the plant goes dormant in the winter, pearly white dried fruits stay on the stems over winter. Fruit is a smooth nutlet that ripens from green to brown to white, somewhat conical to egg-shaped.","1) https://www.wildflower.org/plants/result.php?id_plant=ONBEB, 2) https://plants.usda.gov/home/plantProfile?symbol=ONBE, 3) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=31965#null, 4) http://www.texaswildbuds.com/onosmodium-bejariense.html, 5) https://www.minnesotawildflowers.info/flower/false-gromwell  6) https://tennessee-kentucky.plantatlas.usf.edu/plant/species/916  7) https://www.prairiemoon.com/onosmodium-bejariense-marbleseed"
"Opuntia engelmannii","Prickly Pear","https://www.npsot.org/posts/native-plant/opuntia-engelmannii-var-lindheimeri/","Cactus Apple","","Cactus & Succulent","Chihuahuan Deserts, Cross Timbers, East Central Texas Plains, Edwards Plateau, Southern Texas Plains, Southwestern Tablelands, Texas Blackland Prairies","Chihuahuan Basins and Playas, Chihuahuan Desert Grasslands, Chihuahuan Montane Woodlands, Low Mountains and Bajadas, Stockton Plateau, Carbonate Cross Timbers, Western Cross Timbers, Southern Post Oak Savanna, Balcones Canyonlands, Edwards Plateau Woodland, Llano Uplift, Northern Nueces Alluvial Plains, Rio Grande Floodplain and Terraces, Semiarid Edwards Bajada, Texas-Tamaulipan Thornscrub, Caprock Canyons Badlands Breaks, Floodplains and Low Terraces, Northern Blackland Prairie","1","2","2","4","Evergreen","Perennial","Caliche, Clay, Dry, Gravelly, Sand","Sun, Part Shade","Low","Grassland, Shrubland","Spring","Orange, Red, Yellow","Fruit, Nectar, Pollen","Bees, Deer, Nectar Insects, Small Mammals","Little maintenance required. Needs well-drained soil. Late winter prune pads away from sidewalks and patios. The spread of this plant can be limited by removing fallen pads. Native habitat: sandy, gravelly, or rocky soils, slopes, bajadas, and flats.","Blooms April-June. Shrub-like form, erect or spreading. Pads are green to blue-green, round to oval, They have sharp spines as well as tiny barbed bristles called glochids that can be difficult to remove from the skin. The flowers form along the edge of the pad with petals that vary from yellow to yellow-orange to red. Red to purple fruit is called a ""Tuna"".","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) https://www.wildflower.org/plants/result.php?id_plant=OPENL. 3) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Opuntia+engelmannii+var.+lindheimeri&formsubmit=Search+Terms. 4) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=6757&locationType=County&mapType=Normal. 5) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=195321#null"
"Opuntia rufida","Blind Pricklypear","https://www.npsot.org/posts/native-plant/opuntia-rufida/","Blind Prickly Pear","","Cactus & Succulent","Chihuahuan Deserts","Low Mountains and Bajadas","4","5","4","8","Evergreen","Perennial","Calcareous, Dry, Gravelly, Sand, Well Drained","Sun, Part Shade","Low","Desert, Grassland","Spring, Summer","Orange, Yellow","Fruit, Pollen","Bees, Birds","Low maintenance. Often utilized in xeriscaping due to its drought resistance. Its distinct appearance also makes it a popular ornamental plant in rock gardens as a stand alone specimen. Water sparingly, allowing the soil to dry out completely between waterings. Reduce watering during the winter. Remove dead or damaged pads using tongs or wear gloves. Native habitat: desert flats and hillsides. calcareous to volcanic flats, hillsides, sandy to gravelly desert soils.","Blooms March-August. Blind Prickly Pear forms a trunk, with many branches. Its joints are circular, dull gray-green. The pads are covered with many short brown spines. The showy flowers are about 3 inches across  with a range of colors on the same plant. The fruit is a reddish-purple berry, bout 1 inch long.","1) https://www.wildflower.org/plants/result.php?id_plant=OPRU3  2) https://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=6755&locationType=County&mapType=Normal  3) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Opuntia+rufida&formsubmit=Search+Terms  4) https://itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=19731#null  5) https://www.gardenia.net/plant/opuntia-rufida-blind-prickly-pear"
"Osmundastrum cinnamomeum","Cinnamon Fern","https://www.npsot.org/posts/native-plant/osmunda-cinnamomea/","","Osmunda cinnamomea","Ferns & Allies","East Central Texas Plains, Western Gulf Coastal Plain","Bastrop Lost Pines, Floodplains and Low Terraces, Northern Post Oak Savanna, Northern Prairie Outliers, San Antonio Prairie, Southern Post Oak Savanna, Flatwoods, Pleistocene Fluvial Terraces, Red River Bottomlands, Southern Tertiary Uplands, Tertiary Uplands","2","3","0.5","1","Deciduous","Perennial","Moist, Mud, Poor Drainage","Part Shade, Shade","High","Wetland, Woodland","No Bloom","No Bloom","Nesting Material","Birds","Can grow in full sun if in standing water; otherwise, it must have moist soil and semi-shade. Superficial roots vulnerable to drying out in summer. Cut off dead fronds in late winter if desired. Native habitat: peaty areas, swampy woodlands, swampy. ","Compound leaves occur in clumps and arise from rhizomes near the ground. Leaf stalks are covered with brown hairs. There is a persistent tuft of whitish to brownish hair on the underside of the leaf at the junction of the main stem and leaflet mid-nerve. Stems are green and slightly grooved on the upper side. Two kinds of leaves are produced: sterile and fertile. Sterile fronds are shiny and green. They grow around the fertile fronds (spore bearing) that are shorter, narrower and greenish brown to brown. ","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg. 379, 3) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=1012094#null, 4) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=16552&locationType=County&mapType=Normal, 5) https://www.wildflower.org/plants/result.php?id_plant=OSCI  6) https://plants.ces.ncsu.edu/plants/osmundastrum-cinnamomeum/  7) https://www.minnesotawildflowers.info/fern/cinnamon-fern#:~:text=Spores:,leaf%20dies%20and%20is%20inconspicuous."
